Ref,Val,Package,PosX,PosY,Rot,Side
C1,10µF ,C_0603_1608Metric,127.360000,-104.510000,90.000000,top
C2,0.1µF,C_0603_1608Metric,133.360000,-89.930000,180.000000,top
C3,10nF,C_0603_1608Metric,133.350000,-91.470000,180.000000,top
C4,4.7µF ,C_0603_1608Metric,132.690000,-106.050000,270.000000,top
C5,10nF,C_0603_1608Metric,132.920000,-97.300000,0.000000,top
C6,0.1µF,C_0603_1608Metric,132.910000,-98.820000,0.000000,top
C7,0.1µF,C_0603_1608Metric,127.670000,-95.870000,180.000000,top
C8,10nF,C_0603_1608Metric,128.640000,-92.040000,90.000000,top
C9,0.1µF,C_0603_1608Metric,130.180000,-92.040000,90.000000,top
C10,10µF ,C_0603_1608Metric,134.080000,-121.820000,0.000000,top
C11,0.1µF ,C_0603_1608Metric,134.060000,-123.300000,0.000000,top
C12,1µF ,C_0603_1608Metric,144.880000,-93.900000,90.000000,top
C13,0.1µF ,C_0603_1608Metric,143.400000,-93.890000,90.000000,top
C14,0.1µF ,C_0603_1608Metric,129.980000,-123.300000,180.000000,top
C15,1µF ,C_0603_1608Metric,139.790000,-104.210000,270.000000,top
C16,4.7µF ,C_0603_1608Metric,129.990000,-121.820000,180.000000,top
D1,D_Schottky 0.5A/40V/420mV,D_SOD-123,142.120000,-105.100000,90.000000,top
R1,10K,R_0603_1608Metric,127.660000,-94.330000,180.000000,top
R2,10K,R_0603_1608Metric,127.670000,-97.450000,180.000000,top
R3,10K,R_0603_1608Metric,136.640000,-96.620000,90.000000,top
R4,10K,R_0603_1608Metric,128.180000,-101.750000,180.000000,top
R5,10K,R_0603_1608Metric,128.120000,-99.800000,0.000000,top
R6,10K,R_0603_1608Metric,134.170000,-86.150000,270.000000,top
R7,10K,R_0603_1608Metric,144.060000,-90.920000,0.000000,top
R8,1K,R_0603_1608Metric,142.890000,-108.590000,0.000000,top
U1,TDK InvenSense MPU-9250,QFN-24-1EP_3x3mm_P0.4mm_EP1.75x1.6mm,133.140000,-94.400000,270.000000,top
U2,XC6220B331MR,SOT-23-5,130.010000,-106.250000,0.000000,top
U3,MS5611-01BA,LGA-8_3x5mm_P1.25mm,140.570000,-92.780000,180.000000,top
